Haberlandstraße 5 Berlin-Schöneberg
Pariser Platz 7 Berlin-Mitte
Lübecker Straße 43 Berlin-Moabit
Prinzregentenstraße 66 Berlin-Wilmersdorf
Lindenstraße 2 Berlin-Kreuzberg
Kupfergraben 4 Berlin-Mitte
Motzstraße 7 Berlin-Schöneberg
Greifswalder Straße 198 Berlin-Prenzlauer Berg
Kantstraße 154-155 Berlin-Charlottenburg
Kaiserdamm 26 Berlin-Charlottenburg
Budapester Straße 35 Berlin-Charlottenburg
Nollendorfstraße 17 Berlin-Schöneberg
Regerstraße 8 Berlin-Wilmersdorf
Schönhauser Allee 183 Berlin-Prenzlauer Berg
Winterfeldtstraße 21 Berlin-Schöneberg
Maaßenstraße 12 Berlin-Schöneberg
Königsallee 65 Berlin-Grunewald
Krausnickstraße 6 Berlin-Mitte
Akazienallee 42 Berlin-Zehlendorf
Choriner Straße 74 Berlin-Mitte
Tiergartenstraße 4 Berlin-Tiergarten
Friedrichstraße 129 Berlin-Mitte
Kaiserdamm 28 Berlin-Charlottenburg
Würzburger Straße 13 Berlin-Wilmersdorf
Neue Grünstraße 20 Berlin-Mitte
