business_name,Address,Founded / Registration Date,Erloschen / Took possesion,Expiration Date
Ruilos Knoblauch Verwertungs-GmbH,"Achenbachstr. 8,  Berlin",1921,1933,
Kredithaus Anders Moses Lautmann,"Ackerstr. 124/126,  Berlin",1905,1940,
Simon Stern Möbel u. Warenkredithaus,"Ackerstr. 163,  Berlin",1927,1936,
Gebrüder Kristeller,"Ackerstr. 32,  Berlin",1900,1939,1940
Glückmann & Jochnowicz Rohprodukten,"Ackerstr. 39,  Berlin",1921,1939,
H. & L. Cendrowicz,"Ackerstr. 5/7,  Berlin",1931,1939,
Arthur Jacoby GmbH,"Ackerstr. 54/55,  Berlin",1929,1936,
Isidor Sally,"Ackerstr. 68a,  Berlin",1917,1939,
Berg & Co,"Ackerstr. 91,  Berlin",1919,1940,
Adolf Lacher,"Adalbertstr.  52,  Berlin",,,
Adalbert-Apotheke Walter Jacoby,"Adalbertstr. 16,  Berlin",1900,1936,
Hans Cohn,"Adalbertstr. 4,  Berlin",1924,1940,
Rudolf Rieß,"Adalbertstr. 41,  Berlin",1902,1941,
M. Grund,"Adalbertstr. 63,  Berlin",1904,,
Nachmann Süßermann,"Adalbertstr. 64,  Berlin",1916,1941,
Chemische Fabrik Jacobus GmbH,"Adalbertstr. 65,  Berlin",1927,1939,
Minna Fiedler,"Adalbertstr. 7,  Berlin",1908,1939,
Tietz Anschluß- und Export-GmbH,"Adlergestell 265,  Berlin",1934,1938,
Georg Cohn,"Adlerstr. 7,  Erkener",1900,1936,1938
Hermann Rosenmann,"Admiralstr.  38,  Berlin",,,
Oskar Hanke's Brotbäckerei,"Admiralstr. 10,  Berlin",1904,1937,
Fendler & Gersten,"Admiralstr. 15,  Berlin",1919,1932,
"Kripke, Dr. Speier & Co","Admiralstr. 18e,  Berlin",1920,,
Admiral Apotheke Siegfried Fink,"Admiralstr. 31/32,  Berlin",1903,1936,
Jakob Goteswilen,"Admiralstr. 4,  Berlin",1919,1938,1938
H. Feigenbaum & Co,"Admiralstr. 8,  Berlin",1919,1936,
Tischfabrik Benno Segall,"Adolfstr. 12,  Berlin",1900,1934,
Kurt Landsberger,"Agricolastr. 21,  Berlin",1937,1938,1940
"Lichtenstein, Martha, geb. Perleberg","Agricolastr. 21,  Berlin",,,
Herbert Gottlieb,"Ahlbecker Str.  14,  Berlin",,,
Julius Kaufmann Bankgeschäft,"Ahornallee 13,  Berlin",1932,1938,
"Marcuse, Regina","Ahornstr. 22,  Berlin",,,
Ernst Wilhelm Samuel,"Akazienstr . 29,  Berlin",,,
Dorothea Holzhändler,"Akazienstr.  20,  Berlin",,,
Siegbert Abramczyk,"Akazienstr.  7,  Berlin",,,
"Rothschild, Bernhard","Akazienstr. 20,  Berlin",,,
V. Brieger & Co GmbH Fabrik chemisch-pharmazeutischer Präparate Export - Import Drogen Großhandlung,"Akazienstr. 28,  Berlin",1919,1938,1939
Etika Maschinenbau GmbH,"Akazienstr. 28,  Berlin",1921,,
"Samuel, Ernst Wilhelm","Akazienstr. 29,  Berlin",,,
Atlas-Verlag GmbH,"Albert-Archilles-Str. 58,  Berlin",1933,,
"Hirschberg, Eugen","Albertstr. 15,  Berlin",,,
A. Feurig Apotheke Karl Meyer,"Albertstr. 6,  Berlin",1911,,
"Silbermann, Georg","Albertstr. 9,  Berlin",,,
