"business_name","Address","Founded / Registration Date","Erloschen / Took possesion","Expiration Date","category"
"Ruilos Knoblauch Verwertungs-GmbH","Achenbachstr. 8,  Berlin","1921","1933.0","","chemicals and pharmaceuticals"
"Kredithaus Anders Moses Lautmann","Ackerstr. 124/126,  Berlin","1905","1940.0","","retail shops and department stores"
"Simon Stern Möbel u. Warenkredithaus","Ackerstr. 163,  Berlin","1927","1936.0","","Möbel"
"Gebrüder Kristeller","Ackerstr. 32,  Berlin","1900","1939.0","1940.0","textiles and clothing"
"Glückmann & Jochnowicz Rohprodukten","Ackerstr. 39,  Berlin","1921","1939.0","","textiles and clothing"
"H. & L. Cendrowicz","Ackerstr. 5/7,  Berlin","1931","1939.0","","textiles and clothing"
"Arthur Jacoby GmbH","Ackerstr. 54/55,  Berlin","1929","1936.0","","metals and metal goods"
"Isidor Sally","Ackerstr. 68a,  Berlin","1917","1939.0","","chemicals and pharmaceuticals"
"Berg & Co","Ackerstr. 91,  Berlin","1919","1940.0","","Möbel"
"Adolf Lacher","Adalbertstr.  52,  Berlin","","","","publishing and printing"
"Adalbert-Apotheke Walter Jacoby","Adalbertstr. 16,  Berlin","1900","1936.0","","pharmacies"
"Hans Cohn","Adalbertstr. 4,  Berlin","1924","1940.0","","metals and metal goods"
"Rudolf Rieß","Adalbertstr. 41,  Berlin","1902","1941.0","","textiles and clothing"
"M. Grund","Adalbertstr. 63,  Berlin","1904","","","Möbel"
"Nachmann Süßermann","Adalbertstr. 64,  Berlin","1916","1941.0","","textiles and clothing"
"Chemische Fabrik Jacobus GmbH","Adalbertstr. 65,  Berlin","1927","1939.0","","chemicals and pharmaceuticals"
"Minna Fiedler","Adalbertstr. 7,  Berlin","1908","1939.0","","textiles and clothing"
"Tietz Anschluß- und Export-GmbH","Adlergestell 265,  Berlin","1934","1938.0","","retail shops and department stores"
"Georg Cohn","Adlerstr. 7,  Erkener","1900","1936.0","1938.0","textiles and clothing"
"Hermann Rosenmann","Admiralstr.  38,  Berlin","","","","pharmacies"
"Oskar Hanke's Brotbäckerei","Admiralstr. 10,  Berlin","1904","1937.0","","Nahrungs- und Genussmittel"
"Fendler & Gersten","Admiralstr. 15,  Berlin","1919","1932.0","","household goods"
"Kripke, Dr. Speier & Co","Admiralstr. 18e,  Berlin","1920","","","chemicals and pharmaceuticals"
"Admiral Apotheke Siegfried Fink","Admiralstr. 31/32,  Berlin","1903","1936.0","","pharmacies"
"Jakob Goteswilen","Admiralstr. 4,  Berlin","1919","1938.0","1938.0","textiles and clothing"
"H. Feigenbaum & Co","Admiralstr. 8,  Berlin","1919","1936.0","","metals and metal goods"
"Tischfabrik Benno Segall","Adolfstr. 12,  Berlin","1900","1934.0","","Möbel"
"Kurt Landsberger","Agricolastr. 21,  Berlin","1937","1938.0","1940.0","chemicals and pharmaceuticals"
"Lichtenstein, Martha, geb. Perleberg","Agricolastr. 21,  Berlin","","","","leather and shoes"
"Herbert Gottlieb","Ahlbecker Str.  14,  Berlin","","","","pharmacies"
"Julius Kaufmann Bankgeschäft","Ahornallee 13,  Berlin","1932","1938.0","","banks and insurance"
"Marcuse, Regina","Ahornstr. 22,  Berlin","","","",""
"Ernst Wilhelm Samuel","Akazienstr . 29,  Berlin","","","","textiles and clothing"
"Dorothea Holzhändler","Akazienstr.  20,  Berlin","","","","Nahrungs- und Genussmittel"
"Siegbert Abramczyk","Akazienstr.  7,  Berlin","","","",""
"Rothschild, Bernhard","Akazienstr. 20,  Berlin","","","",""
"V. Brieger & Co GmbH Fabrik chemisch-pharmazeutischer Präparate Export - Import Drogen Großhandlung","Akazienstr. 28,  Berlin","1919","1938.0","1939.0","chemicals and pharmaceuticals"
"Etika Maschinenbau GmbH","Akazienstr. 28,  Berlin","1921","","","machines, motor vehicles & technical articles"
"Samuel, Ernst Wilhelm","Akazienstr. 29,  Berlin","","","","textiles and clothing"
"Atlas-Verlag GmbH","Albert-Archilles-Str. 58,  Berlin","1933","","","publishing and printing"
"Hirschberg, Eugen","Albertstr. 15,  Berlin","","","",""
"A. Feurig Apotheke Karl Meyer","Albertstr. 6,  Berlin","1911","","","pharmacies"
"Silbermann, Georg","Albertstr. 9,  Berlin","","","",""
"Atlas-Verlag Dr. Alterthum & Co","Albrecht-Archilles-Str. 58,  Berlin","1926","1937.0","","publishing and printing"
"Isaak Klibanow","Albrechtstr.  38,  Berlin","","","","Möbel"
"Klibanow","Albrechtstr.  38,  Berlin","","","",""
"Kunze & Fröhlich GmbH","Albrechtstr. 10,  Berlin","1921","1933.0","1937.0","metals and metal goods"
"Edmund Reich","Albrechtstr. 107,  Berlin","1925","1938.0","","Nahrungs- und Genussmittel"
"Joseph Chaim & Olitzki Filiale Steglitz Inh. Isidor Kober","Albrechtstr. 125,  Berlin","1900","1937.0","","textiles and clothing"
"Georg Wangenheim","Albrechtstr. 130,  Berlin","1919","1936.0","","textiles and clothing"
"Friedländer & Blumenreich","Albrechtstr. 14,  Berlin","1911","1939.0","","banks and insurance"
"Albrechtshof Lichtspiele GmbH","Albrechtstr. 1a,  Berlin","1932","1937.0","","restaurants"
"E. Bieber","Albrechtstr. 2,  Berlin","1902","1933.0","","photography and film"
"Albert Heimann, Bureau für Hypotheken- und Immobilienverkehr","Albrechtstr. 25,  Berlin","1914","1937.0","","banks and insurance"
"Park-Lichtspiele-GmbH","Albrechtstr. 49,  Berlin","1929","1932.0","","restaurants"
"Adolf Schrubski","Albrechtstr. 53b,  Berlin","1926","1936.0","","textiles and clothing"
"Carl Wittenberg Herren-Ausstattungs-Geschäft","Albrechtstr. 6,  Berlin","1904","1937.0","","textiles and clothing"
"Café Braun GmbH","Alexanderplatz 1,  Berlin","1931","1936.0","","restaurants"
"Baerwald, Vertreter d. Firma Singer","Alexanderstr.  26,  Berlin","","","","Maschinen und Fahrzeuge, technische Artikel"
"Kurt Dreeßen","Alexanderstr.  43,  Berlin","","","","construction materials and fuel"
"Möbelhaus 'Alexander-Eck'","Alexanderstr.  52,  Berlin","","","","Möbel"
"W. Spieldoch","Alexanderstr. 1,  Berlin","1904","1938.0","","textiles and clothing"
"Automaten-Restaurant Alexanderplatz Benno Einfeld","Alexanderstr. 1,  Berlin","1935","1940.0","","restaurants"
"Schilderfabrik Segal, Inh. Willy & Paul Segal","Alexanderstr. 10,  Berlin","1903","1939.0","","advertising"
"S. Gottlob","Alexanderstr. 12,  Berlin","1901","1931.0","","textiles and clothing"
"Ludwig Heilborn","Alexanderstr. 12,  Berlin","1900","1936.0","","textiles and clothing"
"Sigismund Raphael","Alexanderstr. 12,  Berlin","1903","1936.0","","textiles and clothing"
"Carlsbader Fein Bäckerei Moritz Dobrin","Alexanderstr. 14c,  Berlin","1902","1939.0","","Nahrungs- und Genussmittel"
"Gebrüder Raphael","Alexanderstr. 2,  Berlin","1907","1940.0","","textiles and clothing"
"Paul Wienskowitz","Alexanderstr. 27,  Berlin","1922","1931.0","1939.0","leather and shoes"
"Cigarettenpapier-Manufaktur Max Mayer","Alexanderstr. 27,  Berlin","1913","1938.0","","Nahrungs- und Genussmittel"
"A. Hoffmann & Co","Alexanderstr. 27,  Berlin","1924","1940.0","","textiles and clothing"
"Landshut & Co Buchdruckerei & Formularverlag","Alexanderstr. 27a,  Berlin","1922","1938.0","1939.0","publishing and printing"
"Edel & Dobrin, Spirituosen und Weinhandlung GmbH","Alexanderstr. 27a,  Berlin","1921","1939.0","","Nahrungs- und Genussmittel"
"Gebr. Riebenfeld","Alexanderstr. 30,  Berlin","1910","1938.0","","machines, motor vehicles & technical articles"
"Franz Rosenthal","Alexanderstr. 33,  Berlin","1901","","","publishing and printing"
"Siegmund Kraut","Alexanderstr. 34,  Berlin","1902","1938.0","1939.0","paper and paper goods"
"Max Hirschberg","Alexanderstr. 35,  Berlin","1930","1938.0","1939.0","used goods"
"Eisen & Co","Alexanderstr. 35,  Berlin","1922","1936.0","","Nahrungs- und Genussmittel"
"Stein Söhne","Alexanderstr. 35,  Berlin","1900","1938.0","","textiles and clothing"
"W. & L. Engelberg","Alexanderstr. 35,  Berlin","1927","1939.0","1939.0","textiles and clothing"
"Sanosa GmbH","Alexanderstr. 36a,  Berlin","1924","1938.0","","chemicals and pharmaceuticals"
"Hirsch Leimann","Alexanderstr. 37a,  Berlin","1929","1939.0","","Nahrungs- und Genussmittel"
"Willy Wolffheim","Alexanderstr. 38a,  Berlin","1919","1942.0","","other"
"Max Glaser Papiergroßhandlung","Alexanderstr. 39/40 (Passage),  Berlin","1922","1940.0","","paper and paper goods"
"Müller & Leopold","Alexanderstr. 39/40,  Berlin","1904","1939.0","","textiles and clothing"
"Schokoladengroßhandlung Eisen & Co","Alexanderstr. 39/40,  Berlin","1930","1939.0","","Nahrungs- und Genussmittel"
"William Loewenstein","Alexanderstr. 39/40,  Berlin","1903","1940.0","","textiles and clothing"
"Albert Gleiser Möbelfabrik-AG","Alexanderstr. 42,  Berlin","1923","1935.0","1936.0","Möbel"
"Albert Gleiser Möbelhaus GmbH","Alexanderstr. 42,  Berlin","1924","1935.0","1936.0","Möbel"
"Adolf Kempler","Alexanderstr. 44,  Berlin","1921","1939.0","","textiles and clothing"
"P. Hahn & Co","Alexanderstr. 45,  Berlin","1908","1940.0","","textiles and clothing"
"Sally Klein","Alexanderstr. 46 II,  Berlin","1921","1939.0","","textiles and clothing"
"Engelhardt-Brauerei AG","Alexanderstr. 46/48,  Berlin","1907","1933.0","","Nahrungs- und Genussmittel"
"Seifenkoenig Willy Naschelski","Alexanderstr. 47,  Berlin","1926","1937.0","","chemicals and pharmaceuticals"
"Alexander-Drogerie Apotheker Israel Abraham","Alexanderstr. 48,  Berlin","1912","1938.0","","chemicals and pharmaceuticals"
"Optiker Alexander Fromm & Co GmbH","Alexanderstr. 50,  Berlin","1921","","","other"
"Max Dürfeldt & Co","Alexanderstr. 51,  Berlin","1932","1939.0","","household goods"
"Sally Scheidemann Schürzenfabrikation und Textilwaren-Großhandlung","Alexanderstr. 51/52,  Berlin","1919","1933.0","","textiles and clothing"
"Sherlock GmbH","Alexanderstr. 51/52,  Berlin","1913","","","machines, motor vehicles & technical articles"
"Georg Levy & Sohn","Alexanderstr. 52,  Berlin","1930","1938.0","","Möbel"
"Philipp Jacobius","Alexanderstr. 53,  Berlin","1915","1938.0","1939.0","textiles and clothing"
"Julius Kollenscher","Alexanderstr. 53,  Berlin","1920","1936.0","","banks and insurance"
"William Leiser","Alexanderstr. 53,  Berlin","1920","1937.0","","Nahrungs- und Genussmittel"
"Herrmann, van der Linden & Co","Alexanderstr. 53,  Berlin","1920","1939.0","","Nahrungs- und Genussmittel"
"Siegfried Koh & Cie","Alexanderstr. 55,  Berlin","1932","1939.0","1940.0","textiles and clothing"
"Schneider & Co, Herren- und Knabenkleiderfabrik, GmbH","Alexanderstr. 55,  Berlin","1922","1939.0","","textiles and clothing"
"Emil Schönmann","Alexanderstr. 55,  Berlin","1919","1941.0","","leather and shoes"
"G. E. Handmann Nachflg. Hugo Hopp","Alexanderstr. 71,  Berlin","1900","1939.0","1940.0","Möbel"
"Sprechmaschinen Centrale J. Katz & Sohn","Alexanderstr. 71,  Berlin","1907","1939.0","","machines, motor vehicles & technical articles"
"Alexander-Apotheke Leopold Scheyer","Alexanderstr. 8,  Berlin","1902","1937.0","","pharmacies"
"Hermann Frank","Alexanderstr. 8,  Berlin","1905","1938.0","","machines, motor vehicles & technical articles"
"Faust & Co","Alexanderstr. 8a,  Berlin","1907","1938.0","1938.0","jewelry and precious metals"
